FIPS,1990,1980,1970,1960,Name
0,248709873,226545805,203211926,179323175,United States
6000,29760021,23667902,19953134,15717204,California
6001,1279182,1105379,1073184,908209,Alameda County
6003,1113,1097,484,397,Alpine County
6005,30039,19314,11821,9990,Amador County
6007,182120,143851,101969,82030,Butte County
6009,31998,20710,13585,10289,Calaveras County
6011,16275,Not available,12430,12075,Colusa County
6013,803732,656380,Ed looking up,409030,Contra Costa County
6015,23460,18217,14580,17771,Del Norte County
6017,125995,85812,43833,29390,El Dorado County
6019,667490,514621,413053,365945,Fresno County
6021,24798,21350,17521,17245,Glenn County
6023,119118,108514,99692,104892,Humboldt County
6025,109303,92110,74492,72105,Imperial County
6027,18281,17895,15571,11684,Inyo district
6029,543477,403089,329162,291984,Kern County
6031,101469,Not Available,64610,49954,Kings County
6033,50631,36366,19548,13786,Lake County
6035,27598,21661,14960,13597,Lassen District
6037,8863164,7477503,7032075,6038771,Los Angeles County
6039,88090,63116,41519,40468,Madera County
6041,230096,222568,206038,146820,Marin County
6043,14302,11108,6015,5064,Mariposa district
6045,80345,66738,51101,51059,Mendocino County
6047,178403,134560,104629,90446,Merced County
6049,9678,8610,7469,8308,Modoc County
6051,9956,8577,4016,2213,Mono County
6053,355660,290444,250071,198351,Monterey County
6055,110765,99199,79140,65890,Napa County
6057,78510,51645,26346,20911,Nevada County
6059,2410556,1932709,1420386,703925,Orange County
6061,172796,117247,77306,56998,Placer County
6063,19739,17340,11707,11620,Plumas County
6065,1170413,663166,459074,306191,Riverside County
6067,1041219,783381,631498,502778,Sacramento County
6069,36697,25005,18226,15396,San Benito County
6071,Not Available,Not available,684072,503591,San Bernardi County
6073,2498016,1861846,1357854,1033011,San Diego County
6075,723959,678974,715674,740316,San Francisco County
6077,480628,347342,290208,249989,San Joaquin County
6079,217162,155435,105690,81044,San Luis Obispo County
6081,649623,587329,556234,444387,San Mateo District
6083,369608,298694,264324,168962,Santa Barbara County
6085,1497577,1295071,1064714,642315,Santa Clara County
6087,229734,188141,123790,84219,Santa Cruz County
6089,147036,115715,77640,59468,Shasta County
6091,3318,3073,2365,2247,Sierra County
6093,43531,39732,33225,32885,Siskiyou County
6095,340421,235203,169941,134597,Solano County
6097,388222,299681,204885,147375,Sonoma County
6099,370522,265900,Samuel looking up,157294,Stanislaus County
6101,64415,52246,41935,33380,Sutter County
6103,49625,38888,29517,25305,Tehama District
6105,13063,11858,7615,9706,Trinity district
6107,311921,245738,Janet looking up,168403,Tulare County
6109,48456,33928,22169,14404,Tuolumne County
6111,669016,529174,376430,199138,Ventura County
6113,141092,113374,91788,65727,Yolo County
6115,58228,49733,44736,33859,Yuba County
